GEN,GAME_SPEED,POINTS,SURVIVAL_THRESHOLD,POPULATION,ACT_FUNC
14,29,928,0.6,150,relu
8,31,1127,0.6,150,tanh
15,24,478,0.6,150,relu
9,27,706,0.6,150,tanh
16,26,622,0.6,150,relu
17,24,479,0.6,150,relu
10,27,706,0.6,150,tanh
18,26,673,0.6,149,relu
19,24,483,0.6,150,relu
11,37,1708,0.6,150,tanh
20,28,842,0.6,150,relu
21,24,478,0.6,149,relu
12,34,1426,0.6,150,tanh
22,33,1319,0.6,150,relu
23,24,474,0.6,150,relu
13,36,1637,0.6,150,tanh
24,30,1013,0.6,150,relu
14,34,1430,0.6,150,tanh
25,31,1136,0.6,150,relu
15,32,1210,0.6,150,tanh
26,33,1318,0.6,150,relu
16,35,1531,0.6,149,tanh
27,34,1466,0.6,149,relu
17,32,1213,0.6,150,tanh
28,33,1356,0.6,149,relu
18,34,1458,0.6,150,tanh
29,36,1604,0.6,149,relu
19,36,1639,0.6,150,tanh
30,33,1392,0.6,150,relu
20,35,1573,0.6,150,tanh
31,35,1529,0.6,151,relu
21,34,1466,0.6,150,tanh
32,37,1734,0.6,151,relu
22,35,1500,0.6,151,tanh
33,41,2132,0.6,151,relu
23,35,1535,0.6,150,tanh
34,35,1598,0.6,151,relu
24,36,1667,0.6,150,tanh
35,34,1496,0.6,150,relu
25,38,1828,0.6,150,tanh
36,37,1701,0.6,150,relu
26,38,1831,0.6,151,tanh
37,34,1497,0.6,150,relu
38,33,1317,0.6,150,relu
27,40,2044,0.6,150,tanh
39,33,1396,0.6,150,relu
28,35,1533,0.6,151,tanh
29,33,1318,0.6,151,tanh
40,37,1700,0.6,150,relu
30,35,1535,0.6,151,tanh
41,37,1767,0.6,150,relu
31,36,1687,0.6,150,tanh
42,36,1604,0.6,150,relu
32,34,1496,0.6,150,tanh
43,38,1895,0.6,150,relu
33,40,2048,0.6,150,tanh
44,36,1638,0.6,150,relu
34,35,1567,0.6,150,tanh
45,34,1422,0.6,150,relu
46,34,1425,0.6,150,relu
35,37,1706,0.6,150,tanh
47,35,1571,0.6,151,relu
36,36,1636,0.6,150,tanh
48,36,1607,0.6,151,relu
37,35,1573,0.6,150,tanh
49,32,1204,0.6,151,relu
38,36,1608,0.6,150,tanh
50,36,1602,0.6,151,relu
39,37,1701,0.6,150,tanh
40,39,1984,0.6,149,tanh
41,39,1959,0.6,150,tanh
42,35,1571,0.6,151,tanh
43,40,2043,0.6,151,tanh
1,22,222,0.6,150,sigmoid
44,38,1856,0.6,150,tanh
2,25,578,0.6,150,sigmoid
3,28,881,0.6,150,sigmoid
45,35,1570,0.6,150,tanh
4,26,670,0.6,150,sigmoid
5,28,805,0.6,150,sigmoid
6,25,524,0.6,150,sigmoid
46,39,1954,0.6,150,tanh
7,22,221,0.6,150,sigmoid
8,22,221,0.6,150,sigmoid
47,34,1465,0.6,149,tanh
9,35,1505,0.6,150,sigmoid
48,36,1638,0.6,150,tanh
10,36,1692,0.6,150,sigmoid
49,38,1836,0.6,150,tanh
11,33,1317,0.6,150,sigmoid
